Nombre,Vino Tinto,Vino Blanco,Joven (CRIANZA),Reserva,Gran Reserva,Roble,Sin reserva,Francia,Italia,España,Argentina,Cosecha < 2000s,Cosecha 2000s >,"Precio: < $20,000-$10,000","Precio: $10,000-$4,000","Precio: $4,000 >",Pinot Noir,Cabernet Sauvignon, Syrah,Merlot,Torrontés
Vega Sicilia Único,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
Pingus,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Pesquera,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Alión,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Viña Tondonia,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Marqués de Riscal Reserva,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Cune Imperial Gran Reserva,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Finca Allende Aurus,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Aalto,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0
Numanthia,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
Emilio Moro,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
La Rioja Alta Gran Reserva 904,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Contador,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Artadi Pagos Viejos,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Pago de Carraovejas,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
Roda I,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Torres Mas La Plana,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
Dominio de Pingus Flor de Pingus,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Albariño de Fefiñanes,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Muga Prado Enea Gran Reserva,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
La Montesa,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Pruno,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
San Román,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
El Puntido,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Pintia,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Abadia Retuerta Selección Especial,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Vega Sicilia Valbuena 5º Año,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
R. López de Heredia Viña Tondonia Gran Reserva Blanco,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Abadia Retuerta Pago Negralada,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Valenciso Reserva,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
La Vicalanda,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Clos Mogador,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
El Coto Coto de Imaz Gran Reserva,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Condado de Haza,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
Dinastía Vivanco Colección,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Alto Moncayo,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Belondrade y Lurton,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
